weekday,th,motion_0,motion_1,motion_2,motion_3,motion_4,motion_5,motion_6,motion_7
0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.167, 0, 0, 0, 0, 1, 1, 1, 0
0, 0.333, 0, 0, 0, 0, 0, 0, 1, 0
0, 0.5, 1, 0, 0, 0, 0, 0, 0, 0
0, 0.667, 1, 0, 0, 0, 0, 0, 0, 0
0, 0.833, 0, 1, 0, 0, 1, 1, 0, 0
0, 1.0, 0, 0, 0, 1, 1, 1, 0, 0
0, 1.167, 0, 1, 1, 1, 0, 1, 1, 0
0, 1.333, 0, 1, 0, 1, 0, 0, 0, 0
0, 1.5, 0, 1, 0, 1, 0, 1, 0, 0
0, 1.667, 1, 0, 0, 0, 0, 1, 0, 0
0, 1.833, 0, 0, 1, 0, 0, 1, 0, 1
0, 2.0, 0, 1, 0, 0, 0, 0, 1, 0
0, 2.167, 0, 0, 1, 0, 0, 0, 0, 0
0, 2.333, 0, 0, 0, 0, 0, 0, 0, 0
0, 2.5, 0, 0, 0, 0, 1, 0, 0, 0
0, 2.667, 0, 0, 1, 0, 0, 0, 0, 0
0, 2.833, 0, 0, 0, 0, 0, 0, 0, 0
0, 3.0, 1, 0, 0, 0, 1, 0, 1, 0
0, 3.167, 1, 0, 0, 0, 0, 1, 0, 0
0, 3.333, 0, 0, 0, 0, 1, 0, 0, 1
0, 3.5, 0, 1, 1, 1, 0, 1, 0, 0
0, 3.667, 0, 1, 1, 0, 0, 1, 0, 0
0, 3.833, 0, 0, 0, 0, 0, 1, 1, 0
0, 4.0, 0, 0, 1, 0, 1, 0, 0, 0
0, 4.167, 0, 1, 1, 1, 0, 0, 0, 0
0, 4.333, 0, 1, 0, 0, 1, 0, 0, 0
0, 4.5, 0, 0, 0, 0, 0, 0, 1, 0
0, 4.667, 0, 1, 0, 0, 0, 1, 0, 1
0, 4.833, 1, 0, 0, 0, 0, 0, 0, 1
0, 5.0, 0, 1, 0, 0, 0, 1, 1, 0
0, 5.167, 0, 0, 0, 0, 0, 1, 0, 0
0, 5.333, 0, 0, 1, 1, 1, 0, 0, 0
0, 5.5, 0, 0, 1, 0, 0, 0, 0, 0
0, 5.667, 1, 0, 0, 0, 0, 0, 0, 0
0, 5.833, 0, 1, 0, 1, 0, 0, 0, 0
0, 6.0, 0, 1, 0, 1, 0, 1, 1, 0
0, 6.167, 0, 0, 0, 0, 0, 1, 0, 1
0, 6.333, 0, 1, 0, 1, 0, 1, 0, 1
0, 6.5, 1, 0, 1, 0, 0, 0, 1, 0
0, 6.667, 0, 1, 1, 0, 0, 0, 1, 1
0, 6.833, 0, 0, 1, 0, 0, 0, 1, 1
0, 7.0, 1, 1, 1, 0, 1, 1, 1, 0
0, 7.167, 1, 1, 1, 1, 1, 1, 1, 1
0, 7.333, 1, 1, 1, 0, 1, 0, 0, 1
0, 7.5, 0, 1, 1, 1, 1, 0, 1, 1
0, 7.667, 0, 1, 1, 1, 0, 1, 1, 1
0, 7.833, 0, 0, 1, 1, 1, 0, 1, 1
